"Country_ID","Code","Description","Remarks","IsActive","CreatedBy"
"1","UAE","United Arab Emirates",,"1","1"
"2","YEM","Yemen",,"1","1"
"3","SAU","Saudi Arabia",,"1","1"
"4","BHR","Bahrain",,"1","1"
"5","IRN","Iran",,"1","1"
"6","IND","India",,"1","1"
"7","BGD","Bangladesh",,"1","1"
"8","LKA","Sri Lanka",,"1","1"
"9","TZA","Tanzania",,"1","1"
"10","DJI","Djibouti",,"1","1"
"11","IDN","Indonesia",,"1","1"
"12","PAK","Pakistan",,"1","1"
"13","KEN","Kenya",,"1","1"
"14","OMN","Oman",,"1","1"
"15","MYS","Malaysia",,"1","1"
"16","MRU","Mauritius",,"1","1"
"17","SGP","Singapore",,"1","1"
"18","MDG","Madagascar",,"1","1"
"19","SYC","Seychelles",,"1","1"
"20","REU","Reunion",,"1","1"
